Area,Age,Sex,Year at 30 June,Value,Flags
"Matamata-Piako district","65 years and over","Total people, sex","2013",5800,
"Waikato district","65 years and over","Total people, sex","2013",7800,
"Auckland","65 years and over","Total people, sex","2013",169800,
"Franklin local board area","65 years and over","Total people, sex","2013",9300,
"Papakura local board area","65 years and over","Total people, sex","2013",5400,
"Manurewa local board area","65 years and over","Total people, sex","2013",7200,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2013",6800,
"Howick local board area","65 years and over","Total people, sex","2013",16800,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2013",6000,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2014",6300,
"Howick local board area","65 years and over","Total people, sex","2014",17600,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2014",7000,
"Manurewa local board area","65 years and over","Total people, sex","2014",7500,
"Papakura local board area","65 years and over","Total people, sex","2014",5600,
"Franklin local board area","65 years and over","Total people, sex","2014",9700,
"Auckland","65 years and over","Total people, sex","2014",177200,
"Waikato district","65 years and over","Total people, sex","2014",8200,
"Matamata-Piako district","65 years and over","Total people, sex","2014",6000,
"Thames-Coromandel district","65 years and over","Total people, sex","2014",7700,
"Hauraki district","65 years and over","Total people, sex","2014",4150,
"Hamilton city","65 years and over","Total people, sex","2014",17500,
"Waipa district","65 years and over","Total people, sex","2014",8100,
"Otorohanga district","65 years and over","Total people, sex","2014",1310,
"South Waikato district","65 years and over","Total people, sex","2014",3700,
"Waitomo district","65 years and over","Total people, sex","2014",1300,
"Taupo district","65 years and over","Total people, sex","2014",6000,
